category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
PMID	PMID:36768299	8	62	9606	TMEM97,SIGMAR1,TMBIM4,ITPR1,HSPA5,ANK2,ITPR3,KCNH6	TMEM97,SIGMAR1,TMBIM4,ITPR1,HSPA5,ANK2,ITPR3,KCNH6	2.47e-14	4.38e-09	(2023) Overview of Sigma-1R Subcellular Specific Biological Functions and Role in Neuroprotection.
PMID	PMID:35480310	7	30	9606	MSMO1,SQLE,TM7SF2,HSD3B7,DHCR7,HSD3B1,CH25H	MSMO1,SQLE,TM7SF2,HSD3B7,DHCR7,HSD3B1,CH25H	2.87e-14	4.81e-09	(2022) Transcriptome Analysis and Identification of the Cholesterol Side Chain Cleavage Enzyme BbgCYP11A1 From Bufo bufo gargarizans.
PMID	PMID:34440098	9	113	9606	CYP51A1,ERG28,MSMO1,SC5D,SQLE,TM7SF2,HSPA9,DHCR7,NSDHL	CYP51A1,ERG28,MSMO1,SC5D,SQLE,TM7SF2,HSPA9,DHCR7,NSDHL	2.81e-14	4.81e-09	(2021) Enzymes in the Cholesterol Synthesis Pathway: Interactomics in the Cancer Context.
PMID	PMID:37958553	6	12	9606	CYP51A1,SC5D,SQLE,TM7SF2,LBR,HSD3B1	CYP51A1,SC5D,SQLE,TM7SF2,LBR,HSD3B1	5.17e-14	8.32e-09	(2023) Arabidopsis 3beta-Hydroxysteroid DehydrogenasesC4-Decarboxylases Are Essential for the Pollen and Embryonic Development.
PMID	PMID:31387763	6	12	9606	TMEM97,SIGMAR1,HSPA5,KCNA4,ANK2,KCNH6	TMEM97,SIGMAR1,HSPA5,KCNA4,ANK2,KCNH6	5.17e-14	8.32e-09	(2019) The Molecular Function of sigma Receptors: Past, Present, and Future.
PMID	PMID:29493120	7	33	9606	CYP51A1,MSMO1,SC5D,TM7SF2,LBR,DHCR7,NSDHL	CYP51A1,MSMO1,SC5D,TM7SF2,LBR,DHCR7,NSDHL	5.18e-14	8.32e-09	(2018) Mitochondrial Acetyl-CoA Synthetase 3 is Biosignature of Gastric Cancer Progression.
PMID	PMID:35052668	7	36	9606	SIGMAR1,HSPA9,ITPR1,HSPA5,ITPR3,VDAC1,KCNH6	SIGMAR1,HSPA9,ITPR1,HSPA5,ITPR3,VDAC1,KCNH6	8.93e-14	1.31e-08	(2022) Therapeutic Strategies Targeting Mitochondrial Calcium Signaling: A New Hope for Neurological Diseases?
PMID	PMID:33499031	7	36	9606	TMEM97,SIGMAR1,TMBIM4,ITPR1,HSPA5,ANK2,ITPR3	TMEM97,SIGMAR1,TMBIM4,ITPR1,HSPA5,ANK2,ITPR3	8.93e-14	1.31e-08	(2021) Role of Sigma-1 Receptor in Calcium Modulation: Possible Involvement in Cancer.
PMID	PMID:38045361	7	37	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL	1.06e-13	1.48e-08	(2023) Temporal gene expression changes and affected pathways in neurodevelopment of a mouse model of Smith-Lemli-Opitz syndrome.
PMID	PMID:37401859	7	39	9606	SIGMAR1,HSPA9,HSD3B7,ITPR1,DHCR7,ITPR3,VDAC1	SIGMAR1,HSPA9,HSD3B7,ITPR1,DHCR7,ITPR3,VDAC1	1.48e-13	2e-08	(2023) ER-mitochondria contacts and cholesterol metabolism are disrupted by disease-associated tau protein.
PMID	PMID:35302175	6	15	9606	SIGMAR1,HSPA9,ITPR1,HSPA5,ITPR3,VDAC1	SIGMAR1,HSPA9,ITPR1,HSPA5,ITPR3,VDAC1	1.51e-13	2e-08	(2022) Sigma-1 receptor overexpression promotes proliferation and ameliorates cell apoptosis in beta-cells.
PMID	PMID:35519614	6	15	9606	MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL	MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL	1.51e-13	2e-08	(2022) Tetrandrine Prevents Neomycin-Induced Ototoxicity by Promoting Steroid Biosynthesis.
PMID	PMID:22022489	7	40	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL	1.74e-13	2.18e-08	(2011) Expression and localization of microRNAs in perinatal rat pancreas: role of miR-21 in regulation of cholesterol metabolism.
PMID	PMID:33732169	7	42	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL	2.37e-13	2.9e-08	(2021) Dietary Trivalent Chromium Exposure Up-Regulates Lipid Metabolism in Coral Trout: The Evidence From Transcriptome Analysis.
PMID	PMID:37753198	6	17	9606	TMEM97,SIGMAR1,TMBIM4,HSPA5,DRD2,OPRM1	TMEM97,SIGMAR1,TMBIM4,HSPA5,DRD2,OPRM1	2.8e-13	3.29e-08	(2023) Recent advances in drug discovery efforts targeting the sigma 1 receptor system: Implications for novel medications designed to reduce excessive drug and food seeking.
PMID	PMID:32958824	6	17	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7	2.8e-13	3.29e-08	(2020) Genkwadaphnin inhibits growth and invasion in hepatocellular carcinoma by blocking DHCR24-mediated cholesterol biosynthesis and lipid rafts formation.
PMID	PMID:25542004	7	43	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL	2.75e-13	3.29e-08	(2014) A snapshot of the hepatic transcriptome: ad libitum alcohol intake suppresses expression of cholesterol synthesis genes in alcohol-preferring (P) rats.
PMID	PMID:37560165	6	18	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,NSDHL	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,NSDHL	3.73e-13	4.11e-08	(2023) Phthalate exposure and risk of ovarian dysfunction in endometriosis: human and animal data.
PMID	PMID:29862996	6	18	9606	TMEM97,SIGMAR1,TMBIM4,KCNA4,ANK2,ITPR3	TMEM97,SIGMAR1,TMBIM4,KCNA4,ANK2,ITPR3	3.73e-13	4.11e-08	(2018) Sigma-1 receptor: a new player in neuroprotection against chemotherapy-induced peripheral neuropathy.
PMID	PMID:30406035	7	45	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7,HSD3B1	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7,HSD3B1	3.68e-13	4.11e-08	(2018) The Antitumor Activities of Marsdenia tenacissima.
PMID	PMID:27528654	6	19	9606	SIGMAR1,HSPA9,ITPR1,HSPA5,ITPR3,VDAC1	SIGMAR1,HSPA9,ITPR1,HSPA5,ITPR3,VDAC1	4.91e-13	5.15e-08	(2016) ER-Mitochondria contact sites: A new regulator of cellular calcium flux comes into play.
PMID	PMID:36092728	7	48	9606	SIGMAR1,TMBIM4,HSPA9,ITPR1,ANK2,ITPR3,VDAC1	SIGMAR1,TMBIM4,HSPA9,ITPR1,ANK2,ITPR3,VDAC1	5.57e-13	5.73e-08	(2022) The Potential of Small Molecules to Modulate the Mitochondria-Endoplasmic Reticulum Interplay in Alzheimers Disease.
PMID	PMID:38740238	5	5	9606	HSPA9,ITPR1,HSPA5,ITPR3,VDAC1	HSPA9,ITPR1,HSPA5,ITPR3,VDAC1	6.64e-13	6.69e-08	(2024) Mechanism of apoptosis induced by the combined action of acrylamide and Elaidic acid through endoplasmic reticulum stress injury.
PMID	PMID:34601668	5	5	9606	SIGMAR1,HSPA9,ITPR1,ITPR3,VDAC1	SIGMAR1,HSPA9,ITPR1,ITPR3,VDAC1	6.64e-13	6.69e-08	(2021) Sigma-1 Receptor Activation Suppresses Microglia M1 Polarization via Regulating Endoplasmic Reticulum-Mitochondria Contact and Mitochondrial Functions in Stress-Induced Hypertension Rats.
PMID	PMID:34829190	5	5	9606	MSMO1,SC5D,SQLE,TM7SF2,LBR	MSMO1,SC5D,SQLE,TM7SF2,LBR	6.64e-13	6.69e-08	(2021) Sterol Composition Modulates the Response of Saccharomyces cerevisiae to Iron Deficiency.
PMID	PMID:19367604	6	22	9606	SIGMAR1,HSPA9,ITPR1,HSPA5,ITPR3,VDAC1	SIGMAR1,HSPA9,ITPR1,HSPA5,ITPR3,VDAC1	1.04e-12	9.92e-08	(2009) Access of viral proteins to mitochondria via mitochondria-associated membranes.
PMID	PMID:21423550	7	55	9606	SIGMAR1,HSPA9,ITPR1,HSPA5,ANK2,ITPR3,VDAC1	SIGMAR1,HSPA9,ITPR1,HSPA5,ANK2,ITPR3,VDAC1	1.34e-12	1.25e-07	(2011) IP(3) Receptors, Mitochondria, and Ca Signaling: Implications for Aging.
PMID	PMID:25184529	6	24	9606	MSMO1,SC5D,TM7SF2,LBR,DHCR7,NSDHL	MSMO1,SC5D,TM7SF2,LBR,DHCR7,NSDHL	1.64e-12	1.5e-07	(2014) Disorders of cholesterol metabolism and their unanticipated convergent mechanisms of disease.
PMID	PMID:36614266	7	57	9606	SIGMAR1,TMBIM4,HSPA9,HSPA5,ITPR3,VDAC1,OPRM1	SIGMAR1,TMBIM4,HSPA9,HSPA5,ITPR3,VDAC1,OPRM1	1.69e-12	1.53e-07	(2023) Chaperone-Dependent Mechanisms as a Pharmacological Target for Neuroprotection.
PMID	PMID:34712920	7	58	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL	1.89e-12	1.68e-07	(2021) A network-based approach reveals the dysregulated transcriptional regulation in non-alcoholic fatty liver disease.
PMID	PMID:40250732	5	7	9606	CYP51A1,MSMO1,SC5D,SQLE,DHCR7	CYP51A1,MSMO1,SC5D,SQLE,DHCR7	2.08e-12	1.77e-07	(2025) The DHCR7 is the key target of lipotoxic liver injury caused by matrine through abnormal activation of the cholesterol synthesis pathway.
PMID	PMID:37191585	5	7	9606	SIGMAR1,TMBIM4,ITPR1,HSPA5,ITPR3	SIGMAR1,TMBIM4,ITPR1,HSPA5,ITPR3	2.08e-12	1.77e-07	(2023) Development of a Novel sigma1 Receptor Biosensor Based on Its Heterodimerization with Binding Immunoglobulin Protein in Living Cells.
PMID	PMID:35158652	6	25	9606	CYP51A1,MSMO1,SC5D,SQLE,DHCR7,NSDHL	CYP51A1,MSMO1,SC5D,SQLE,DHCR7,NSDHL	2.03e-12	1.77e-07	(2022) RNA Sequencing Analysis Reveals Divergent Adaptive Response to Hypo- and Hyper-Salinity in Greater Amberjack (Seriola dumerili) Juveniles.
PMID	PMID:35784841	6	25	9606	SIGMAR1,HSPA9,ITPR1,HSPA5,ITPR3,VDAC1	SIGMAR1,HSPA9,ITPR1,HSPA5,ITPR3,VDAC1	2.03e-12	1.77e-07	(2022) A Non-Canonical Role for IRE1alpha Links ER and Mitochondria as Key Regulators of Astrocyte Dysfunction: Implications in Methamphetamine use and HIV-Associated Neurocognitive Disorders.
PMID	PMID:24828104	6	25	9606	MSMO1,SC5D,SQLE,TM7SF2,LBR,NSDHL	MSMO1,SC5D,SQLE,TM7SF2,LBR,NSDHL	2.03e-12	1.77e-07	(2014) Genetic profiling of the isoprenoid and sterol biosynthesis pathway genes of Trypanosoma cruzi.
PMID	PMID:20493718	5	7	9606	TMEM97,SIGMAR1,KCNA4,ANK2,KCNH6	TMEM97,SIGMAR1,KCNA4,ANK2,KCNH6	2.08e-12	1.77e-07	(2010) Synthesis and characterization of N,N-dialkyl and N-alkyl-N-aralkyl fenpropimorph-derived compounds as high affinity ligands for sigma receptors.
PMID	PMID:37065701	6	26	9606	MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL	MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL	2.5e-12	1.97e-07	(2023) Gypenosides ameliorate high-fat diet-induced nonalcoholic fatty liver disease in mice by regulating lipid metabolism.
PMID	PMID:33240039	6	26	9606	SIGMAR1,HSPA9,ITPR1,HSPA5,ITPR3,VDAC1	SIGMAR1,HSPA9,ITPR1,HSPA5,ITPR3,VDAC1	2.5e-12	1.97e-07	(2020) MERCs. The Novel Assistant to Neurotransmission?
PMID	PMID:26535575	6	26	9606	TMEM97,ERG28,MSMO1,SQLE,TM7SF2,DHCR7	TMEM97,ERG28,MSMO1,SQLE,TM7SF2,DHCR7	2.5e-12	1.97e-07	(2015) Impact of Statins on Gene Expression in Human Lung Tissues.
PMID	PMID:35741091	7	61	9606	SIGMAR1,TMBIM4,HSPA9,ITPR1,HSPA5,ITPR3,VDAC1	SIGMAR1,TMBIM4,HSPA9,ITPR1,HSPA5,ITPR3,VDAC1	2.63e-12	1.99e-07	(2022) Dysregulated Ca(2+) Homeostasis as a Central Theme in Neurodegeneration: Lessons from Alzheimers Disease and Wolfram Syndrome.
PMID	PMID:33327665	7	61	9606	SIGMAR1,HSPA9,ITPR1,HSPA5,ANK2,ITPR3,VDAC1	SIGMAR1,HSPA9,ITPR1,HSPA5,ANK2,ITPR3,VDAC1	2.63e-12	1.99e-07	(2020) Molecular Dysfunctions of Mitochondria-Associated Membranes (MAMs) in Alzheimers Disease.
PMID	PMID:33678551	7	62	9606	SIGMAR1,TMBIM4,HSPA9,ITPR1,HSPA5,ITPR3,VDAC1	SIGMAR1,TMBIM4,HSPA9,ITPR1,HSPA5,ITPR3,VDAC1	2.92e-12	2.15e-07	(2021) Balancing ER-Mitochondrial Ca(2+) Fluxes in Health and Disease.
PMID	PMID:35252766	6	27	9606	CYP51A1,MSMO1,SC5D,SQLE,DHCR7,NSDHL	CYP51A1,MSMO1,SC5D,SQLE,DHCR7,NSDHL	3.05e-12	2.21e-07	(2022) Effects of the Phytochemical Combination PB123 on Nrf2 Activation, Gene Expression, and the Cholesterol Pathway in HepG2 Cells.
PMID	PMID:29703166	6	27	9606	CYP51A1,MSMO1,SC5D,SQLE,DHCR7,NSDHL	CYP51A1,MSMO1,SC5D,SQLE,DHCR7,NSDHL	3.05e-12	2.21e-07	(2018) Cholesterol synthesis pathway genes in prostate cancer are transcriptionally downregulated when tissue confounding is minimized.
PMID	PMID:37535861	5	8	9606	TMEM97,SIGMAR1,TMBIM4,HSPA5,OPRM1	TMEM97,SIGMAR1,TMBIM4,HSPA5,OPRM1	3.38e-12	2.38e-07	(2023) Discovery of AD258 as a Sigma Receptor Ligand with Potent Antiallodynic Activity.
PMID	PMID:34201401	5	8	9606	TMEM97,MSMO1,SQLE,SIGMAR1,KCNH6	TMEM97,MSMO1,SQLE,SIGMAR1,KCNH6	3.38e-12	2.38e-07	(2021) In Vitro Confirmation of Siramesine as a Novel Antifungal Agent with In Silico Lead Proposals of Structurally Related Antifungals.
PMID	PMID:33867942	6	28	9606	SIGMAR1,HSPA9,ITPR1,HSPA5,ITPR3,VDAC1	SIGMAR1,HSPA9,ITPR1,HSPA5,ITPR3,VDAC1	3.7e-12	2.54e-07	(2021) The Role of Mitochondrial Dysfunction and ER Stress in TDP-43 and C9ORF72 ALS.
PMID	PMID:31657721	6	29	9606	CYP51A1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL	CYP51A1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL	4.46e-12	3.02e-07	(2019) Cholesterol accessibility at the ciliary membrane controls hedgehog signaling.
PMID	PMID:29156692	6	29	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7	4.46e-12	3.02e-07	(2017) Increased transcriptional and metabolic capacity for lipid metabolism in the peripheral zone of the prostate may underpin its increased susceptibility to cancer.
PMID	PMID:37240331	7	67	9606	SIGMAR1,HSPA9,ITPR1,HSPA5,ANK2,ITPR3,VDAC1	SIGMAR1,HSPA9,ITPR1,HSPA5,ANK2,ITPR3,VDAC1	4.86e-12	3.2e-07	(2023) Calciums Role in Orchestrating Cancer Apoptosis: Mitochondrial-Centric Perspective.
PMID	PMID:40799639	5	9	9606	SIGMAR1,HSPA9,ITPR1,ITPR3,VDAC1	SIGMAR1,HSPA9,ITPR1,ITPR3,VDAC1	5.25e-12	3.42e-07	(2025) Cardioprotective effect of Yiqi Huoxue decoction on post-myocardial infarction injury mediated by Ca(2+) flux through MAMs.
PMID	PMID:36958722	6	30	9606	CYP51A1,ERG28,MSMO1,SQLE,DHCR7,NSDHL	CYP51A1,ERG28,MSMO1,SQLE,DHCR7,NSDHL	5.34e-12	3.42e-07	(2023) Cholesterol synthesis enzyme SC4MOL is fine-tuned by sterols and targeted for degradation by the E3 ligase MARCHF6.
PMID	PMID:34736882	7	68	9606	TMEM97,SIGMAR1,ITPR1,HSPA5,KCNA4,ITPR3,VDAC1	TMEM97,SIGMAR1,ITPR1,HSPA5,KCNA4,ITPR3,VDAC1	5.35e-12	3.42e-07	(2022) Revisiting the sigma-1 receptor as a biological target to treat affective and cognitive disorders.
PMID	PMID:32526921	5	9	9606	CYP51A1,MSMO1,SQLE,TM7SF2,LBR	CYP51A1,MSMO1,SQLE,TM7SF2,LBR	5.25e-12	3.42e-07	(2020) Candidiasis and Mechanisms of Antifungal Resistance.
PMID	PMID:22007308	6	30	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7	5.34e-12	3.42e-07	(2011) Mechanism of resistance to dietary cholesterol.
PMID	PMID:20333205	5	9	9606	ERG28,MSMO1,SQLE,TM7SF2,DHCR7	ERG28,MSMO1,SQLE,TM7SF2,DHCR7	5.25e-12	3.42e-07	(2009) Phylogenomics of sterol synthesis: insights into the origin, evolution, and diversity of a key eukaryotic feature.
PMID	PMID:31780884	6	31	9606	SIGMAR1,ITPR1,HSPA5,KCNA4,DRD2,ITPR3	SIGMAR1,ITPR1,HSPA5,KCNA4,DRD2,ITPR3	6.37e-12	3.86e-07	(2019) The Sigma-1 Receptor: When Adaptive Regulation of Cell Electrical Activity Contributes to Stimulant Addiction and Cancer.
PMID	PMID:36776252	6	32	9606	SIGMAR1,HSPA9,ITPR1,HSPA5,ITPR3,VDAC1	SIGMAR1,HSPA9,ITPR1,HSPA5,ITPR3,VDAC1	7.56e-12	4.52e-07	(2023) Mitochondria-associated endoplasmic reticulum membranes (MAMs): Possible therapeutic targets in heart failure.
PMID	PMID:36069933	6	32	9606	CYP51A1,SC5D,SQLE,TM7SF2,DHCR7,CH25H	CYP51A1,SC5D,SQLE,TM7SF2,DHCR7,CH25H	7.56e-12	4.52e-07	(2022) Piezo1 regulates cholesterol biosynthesis to influence neural stem cell fate during brain development.
PMID	PMID:35743175	5	10	9606	TMEM97,SIGMAR1,ITPR1,HSPA5,ITPR3	TMEM97,SIGMAR1,ITPR1,HSPA5,ITPR3	7.87e-12	4.6e-07	(2022) EST79232 and EST79376, Two Novel Sigma-1 Receptor Ligands, Exert Neuroprotection on Models of Motoneuron Degeneration.
PMID	PMID:35908039	6	33	9606	CYP51A1,MSMO1,SC5D,SQLE,DHCR7,NSDHL	CYP51A1,MSMO1,SC5D,SQLE,DHCR7,NSDHL	8.93e-12	5.16e-07	(2022) Cholesterol sulfate alleviates ulcerative colitis by promoting cholesterol biosynthesis in colonic epithelial cells.
PMID	PMID:34054419	6	34	9606	CYP51A1,MSMO1,SC5D,TM7SF2,DHCR7,NSDHL	CYP51A1,MSMO1,SC5D,TM7SF2,DHCR7,NSDHL	1.05e-11	6e-07	(2021) Multi-Dimensional Transcriptome Analysis Reveals Modulation of Cholesterol Metabolism as Highly Integrated Response to Brain Injury.
PMID	PMID:34440085	6	34	9606	SIGMAR1,HSPA9,ITPR1,HSPA5,ITPR3,VDAC1	SIGMAR1,HSPA9,ITPR1,HSPA5,ITPR3,VDAC1	1.05e-11	6e-07	(2021) Structural and Functional Alterations in Mitochondria-Associated Membranes (MAMs) and in Mitochondria Activate Stress Response Mechanisms in an In Vitro Model of Alzheimers Disease.
PMID	PMID:27088037	6	34	9606	TMEM97,SIGMAR1,ITPR1,HSPA5,DRD2,ITPR3	TMEM97,SIGMAR1,ITPR1,HSPA5,DRD2,ITPR3	1.05e-11	6e-07	(2016) Potential Molecular Mechanisms on the Role of the Sigma-1 Receptor in the Action of Cocaine and Methamphetamine.
PMID	PMID:26646011	6	34	9606	CYP51A1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL	CYP51A1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL	1.05e-11	6e-07	(2015) Transcriptomic Analysis of Chronic Hepatitis B and C and Liver Cancer Reveals MicroRNA-Mediated Control of Cholesterol Synthesis Programs.
PMID	PMID:36979594	5	11	9606	HSPA9,ITPR1,HSPA5,ITPR3,VDAC1	HSPA9,ITPR1,HSPA5,ITPR3,VDAC1	1.14e-11	6.26e-07	(2023) Simultaneous Measurement of Changes in Mitochondrial and Endoplasmic Reticulum Free Calcium in Pancreatic Beta Cells.
PMID	PMID:34131078	5	11	9606	CYP51A1,MSMO1,SQLE,DHCR7,KCNH6	CYP51A1,MSMO1,SQLE,DHCR7,KCNH6	1.14e-11	6.26e-07	(2021) Evolution of bacterial steroid biosynthesis and its impact on eukaryogenesis.
PMID	PMID:23324054	5	11	9606	TMEM97,SIGMAR1,HSPA5,ANK2,ITPR3	TMEM97,SIGMAR1,HSPA5,ANK2,ITPR3	1.14e-11	6.26e-07	(2013) Photoaffinity labeling of the sigma-1 receptor with N-[3-(4-nitrophenyl)propyl]-N-dodecylamine: evidence of receptor dimers.
PMID	PMID:30069000	7	77	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL	1.21e-11	6.43e-07	(2018) Analysis of diet-induced differential methylation, expression, and interactions of lncRNA and protein-coding genes in mouse liver.
PMID	PMID:30075336	6	35	9606	TMEM97,SIGMAR1,ITPR1,HSPA5,ANK2,ITPR3	TMEM97,SIGMAR1,ITPR1,HSPA5,ANK2,ITPR3	1.23e-11	6.45e-07	(2018) Sigma 1 receptor: A novel therapeutic target in retinal disease.
PMID	PMID:18070364	6	35	9606	TMEM97,MSMO1,SC5D,SQLE,DHCR7,NSDHL	TMEM97,MSMO1,SC5D,SQLE,DHCR7,NSDHL	1.23e-11	6.45e-07	(2007) Coordinate up-regulation of TMEM97 and cholesterol biosynthesis genes in normal ovarian surface epithelial cells treated with progesterone: implications for pathogenesis of ovarian cancer.
PMID	PMID:37020304	6	36	9606	CYP51A1,SC5D,SQLE,TM7SF2,LBR,DHCR7	CYP51A1,SC5D,SQLE,TM7SF2,LBR,DHCR7	1.43e-11	7.37e-07	(2023) Sulfur, sterol and trehalose metabolism in the deep-sea hydrocarbon seep tubeworm Lamellibrachia luymesi.
RCTM	HSA-191273	8	27	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,LBR,DHCR7,NSDHL	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,LBR,DHCR7,NSDHL	6.34e-17	1.45e-13	Cholesterol biosynthesis
RCTM	HSA-8957322	11	153	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,HSD3B7,LBR,DHCR7,HSD3B1,NSDHL,CH25H	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,HSD3B7,LBR,DHCR7,HSD3B1,NSDHL,CH25H	6.48e-17	1.45e-13	Metabolism of steroids
RCTM	HSA-2426168	5	42	9606	CYP51A1,SC5D,SQLE,TM7SF2,DHCR7	CYP51A1,SC5D,SQLE,TM7SF2,DHCR7	3.91e-09	2.23e-06	Activation of gene expression by SREBF (SREBP)
RCTM	HSA-1430728	14	2092	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,HSD3B7,ITPR1,LBR,DHCR7,HSD3B1,NSDHL,CH25H,ITPR3,VDAC1	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,HSD3B7,ITPR1,LBR,DHCR7,HSD3B1,NSDHL,CH25H,ITPR3,VDAC1	6.67e-08	2.54e-05	Metabolism
RCTM	HSA-6807047	2	4	9606	SC5D,DHCR7	SC5D,DHCR7	2.5e-05	0.0081	Cholesterol biosynthesis via desmosterol
RCTM	HSA-6807062	2	4	9606	SC5D,DHCR7	SC5D,DHCR7	2.5e-05	0.0081	Cholesterol biosynthesis via lathosterol
RCTM	HSA-5607763	2	11	9606	ITPR1,ITPR3	ITPR1,ITPR3	0.00013	0.0328	CLEC7A (Dectin-1) induces NFAT activation
WikiPathways	WP5329	11	111	9606	CYP51A1,ERG28,MSMO1,SC5D,TM7SF2,HSD3B7,LBR,DHCR7,HSD3B1,NSDHL,CH25H	CYP51A1,ERG28,MSMO1,SC5D,TM7SF2,HSD3B7,LBR,DHCR7,HSD3B1,NSDHL,CH25H	2.28e-18	1.78e-15	Cholesterol biosynthesis pathway in hepatocytes
WikiPathways	WP4718	9	47	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,LBR,DHCR7,NSDHL,CH25H	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,LBR,DHCR7,NSDHL,CH25H	1.84e-17	7.17e-15	Cholesterol metabolism with Bloch and Kandutsch-Russell pathways
WikiPathways	WP5304	9	72	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,LBR,DHCR7,NSDHL,VDAC1	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,LBR,DHCR7,NSDHL,VDAC1	6.2e-16	1.23e-13	Cholesterol metabolism
WikiPathways	WP5333	8	36	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,LBR,DHCR7,NSDHL	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,LBR,DHCR7,NSDHL	4.74e-16	1.23e-13	Cholesterol metabolism
WikiPathways	WP197	6	15	9606	CYP51A1,MSMO1,SC5D,SQLE,DHCR7,NSDHL	CYP51A1,MSMO1,SC5D,SQLE,DHCR7,NSDHL	1.51e-13	2.36e-11	Cholesterol biosynthesis pathway
WikiPathways	WP5193	6	18	9606	CYP51A1,MSMO1,SC5D,SQLE,LBR,DHCR7	CYP51A1,MSMO1,SC5D,SQLE,LBR,DHCR7	3.73e-13	4.86e-11	Cholesterol synthesis disorders
WikiPathways	WP4804	5	7	9606	CYP51A1,SC5D,LBR,DHCR7,NSDHL	CYP51A1,SC5D,LBR,DHCR7,NSDHL	2.08e-12	2.32e-10	Cholesterol biosynthesis with skeletal dysplasias
WikiPathways	WP5323	8	380	9606	CYP51A1,MSMO1,TM7SF2,LBR,DHCR7,ANK2,NSDHL,VDAC1	CYP51A1,MSMO1,TM7SF2,LBR,DHCR7,ANK2,NSDHL,VDAC1	2.39e-08	2.33e-06	Fatty Acids and Lipoproteins Transport in Hepatocytes
WikiPathways	WP4756	3	44	9606	ITPR1,HSD3B1,ITPR3	ITPR1,HSD3B1,ITPR3	3.17e-05	0.0028	Renin-angiotensin-aldosterone system (RAAS)
WikiPathways	WP4545	3	48	9606	HSD3B7,DHCR7,CH25H	HSD3B7,DHCR7,CH25H	4.06e-05	0.0032	Oxysterols derived from cholesterol
HPO	HP:0003107	6	98	9606	MSMO1,SC5D,HSD3B7,LBR,DHCR7,NSDHL	MSMO1,SC5D,HSD3B7,LBR,DHCR7,NSDHL	3.92e-09	4.79e-05	Abnormal circulating cholesterol concentration
HPO	HP:0003146	3	13	9606	MSMO1,HSD3B7,DHCR7	MSMO1,HSD3B7,DHCR7	1.13e-06	0.0046	Hypocholesterolemia
HPO	HP:0010655	3	33	9606	LBR,DHCR7,NSDHL	LBR,DHCR7,NSDHL	1.41e-05	0.0344	Epiphyseal stippling
