category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
Keyword	KW-0472	24	7068	9606	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SQLE,SIGMAR1,TM7SF2,TMBIM4,HSD3B7,ITPR1,FAXDC2,KCNA4,LBR,DHCR7,ANK2,DRD2,HSD3B1,NSDHL,CH25H,ITPR3,VDAC1,OPRM1,KCNH6	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SQLE,SIGMAR1,TM7SF2,TMBIM4,HSD3B7,ITPR1,FAXDC2,KCNA4,LBR,DHCR7,ANK2,DRD2,HSD3B1,NSDHL,CH25H,ITPR3,VDAC1,OPRM1,KCNH6	2.97e-09	1.81e-07	Membrane
Keyword	KW-1133	21	5040	9606	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SIGMAR1,TM7SF2,TMBIM4,HSD3B7,ITPR1,FAXDC2,KCNA4,LBR,DHCR7,DRD2,HSD3B1,NSDHL,CH25H,ITPR3,OPRM1,KCNH6	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SIGMAR1,TM7SF2,TMBIM4,HSD3B7,ITPR1,FAXDC2,KCNA4,LBR,DHCR7,DRD2,HSD3B1,NSDHL,CH25H,ITPR3,OPRM1,KCNH6	6.18e-09	3.46e-07	Transmembrane helix
Keyword	KW-0520	4	184	9606	MSMO1,HSD3B7,HSD3B1,NSDHL	MSMO1,HSD3B7,HSD3B1,NSDHL	0.0001	0.0049	NAD
Keyword	KW-0755	2	11	9606	HSD3B7,HSD3B1	HSD3B7,HSD3B1	0.00013	0.0058	Steroidogenesis
Keyword	KW-0408	4	311	9606	CYP51A1,MSMO1,SC5D,CH25H	CYP51A1,MSMO1,SC5D,CH25H	0.00072	0.0304	Iron
Keyword	KW-0492	3	132	9606	CYP51A1,SQLE,TM7SF2	CYP51A1,SQLE,TM7SF2	0.00073	0.0304	Microsome
Keyword	KW-0407	4	348	9606	ITPR1,KCNA4,ITPR3,KCNH6	ITPR1,KCNA4,ITPR3,KCNH6	0.0011	0.0408	Ion channel
Keyword	KW-0406	5	628	9606	ITPR1,KCNA4,ITPR3,VDAC1,KCNH6	ITPR1,KCNA4,ITPR3,VDAC1,KCNH6	0.0013	0.0445	Ion transport
Keyword	KW-0521	3	170	9606	TM7SF2,DHCR7,HSD3B1	TM7SF2,DHCR7,HSD3B1	0.0015	0.0499	NADP
KEGG	hsa00100	8	20	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,LBR,DHCR7,NSDHL	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,LBR,DHCR7,NSDHL	8.42e-18	2.83e-15	Steroid biosynthesis
KEGG	hsa04927	4	65	9606	ITPR1,KCNA4,HSD3B1,ITPR3	ITPR1,KCNA4,HSD3B1,ITPR3	1.93e-06	0.00032	Cortisol synthesis and secretion
KEGG	hsa01100	10	1435	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,HSD3B7,LBR,DHCR7,HSD3B1,NSDHL	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,HSD3B7,LBR,DHCR7,HSD3B1,NSDHL	7.72e-06	0.00086	Metabolic pathways
KEGG	hsa05012	5	236	9606	ITPR1,HSPA5,DRD2,ITPR3,VDAC1	ITPR1,HSPA5,DRD2,ITPR3,VDAC1	1.39e-05	0.0012	Parkinson disease
KEGG	hsa04934	4	153	9606	ITPR1,KCNA4,HSD3B1,ITPR3	ITPR1,KCNA4,HSD3B1,ITPR3	5.04e-05	0.0034	Cushing syndrome
KEGG	hsa04918	3	73	9606	ITPR1,HSPA5,ITPR3	ITPR1,HSPA5,ITPR3	0.00013	0.0075	Thyroid hormone synthesis
KEGG	hsa04540	3	87	9606	ITPR1,DRD2,ITPR3	ITPR1,DRD2,ITPR3	0.00022	0.0106	Gap junction
KEGG	hsa00120	2	17	9606	HSD3B7,CH25H	HSD3B7,CH25H	0.00028	0.0116	Primary bile acid biosynthesis
KEGG	hsa04925	3	94	9606	ITPR1,HSD3B1,ITPR3	ITPR1,HSD3B1,ITPR3	0.00028	0.0116	Aldosterone synthesis and secretion
KEGG	hsa05020	4	263	9606	ITPR1,HSPA5,ITPR3,VDAC1	ITPR1,HSPA5,ITPR3,VDAC1	0.00039	0.013	Prion disease
KEGG	hsa04728	3	126	9606	ITPR1,DRD2,ITPR3	ITPR1,DRD2,ITPR3	0.00064	0.0194	Dopaminergic synapse
KEGG	hsa04915	3	133	9606	ITPR1,ITPR3,OPRM1	ITPR1,ITPR3,OPRM1	0.00074	0.0208	Estrogen signaling pathway
KEGG	hsa05017	3	135	9606	ITPR1,ITPR3,VDAC1	ITPR1,ITPR3,VDAC1	0.00077	0.0208	Spinocerebellar ataxia
KEGG	hsa04218	3	150	9606	ITPR1,ITPR3,VDAC1	ITPR1,ITPR3,VDAC1	0.001	0.025	Cellular senescence
KEGG	hsa05014	4	350	9606	SIGMAR1,HSPA5,ITPR3,VDAC1	SIGMAR1,HSPA5,ITPR3,VDAC1	0.0011	0.025	Amyotrophic lateral sclerosis
KEGG	hsa04022	3	163	9606	ITPR1,ITPR3,VDAC1	ITPR1,ITPR3,VDAC1	0.0013	0.0277	cGMP-PKG signaling pathway
KEGG	hsa04621	3	173	9606	ITPR1,ITPR3,VDAC1	ITPR1,ITPR3,VDAC1	0.0016	0.0309	NOD-like receptor signaling pathway
KEGG	hsa04020	3	191	9606	ITPR1,ITPR3,VDAC1	ITPR1,ITPR3,VDAC1	0.0021	0.0385	Calcium signaling pathway
KEGG	hsa05205	3	194	9606	ITPR1,ANK2,ITPR3	ITPR1,ANK2,ITPR3	0.0022	0.0385	Proteoglycans in cancer
KEGG	hsa04730	2	59	9606	ITPR1,ITPR3	ITPR1,ITPR3	0.0029	0.049	Long-term depression
KEGG	hsa05131	3	218	9606	ITPR1,ITPR3,VDAC1	ITPR1,ITPR3,VDAC1	0.003	0.049	Shigellosis
InterPro	IPR006694	4	6	9606	MSMO1,SC5D,FAXDC2,CH25H	MSMO1,SC5D,FAXDC2,CH25H	4.95e-10	3.56e-06	Fatty acid hydroxylase
InterPro	IPR001171	3	3	9606	TM7SF2,LBR,DHCR7	TM7SF2,LBR,DHCR7	4.06e-08	0.00015	Sterol biosynthesis ERG24/DHCR-like
InterPro	IPR018083	3	3	9606	TM7SF2,LBR,DHCR7	TM7SF2,LBR,DHCR7	4.06e-08	0.00015	Sterol reductase, conserved site
InterPro	IPR002225	3	6	9606	HSD3B7,HSD3B1,NSDHL	HSD3B7,HSD3B1,NSDHL	1.7e-07	0.00031	3-beta hydroxysteroid dehydrogenase/isomerase
InterPro	IPR005821	4	107	9606	ITPR1,KCNA4,ITPR3,KCNH6	ITPR1,KCNA4,ITPR3,KCNH6	1.29e-05	0.0185	Ion transport domain
InterPro	IPR000493	2	3	9606	ITPR1,ITPR3	ITPR1,ITPR3	1.67e-05	0.0199	Inositol 1,4,5-trisphosphate receptor
InterPro	IPR000699	2	6	9606	ITPR1,ITPR3	ITPR1,ITPR3	4.66e-05	0.0478	RIH domain
InterPro	IPR013662	2	6	9606	ITPR1,ITPR3	ITPR1,ITPR3	4.66e-05	0.0478	RyR/IP3R Homology associated domain
InterPro	IPR014821	2	6	9606	ITPR1,ITPR3	ITPR1,ITPR3	4.66e-05	0.0478	Inositol 1,4,5-trisphosphate/ryanodine receptor
InterPro	IPR015925	2	6	9606	ITPR1,ITPR3	ITPR1,ITPR3	4.66e-05	0.0478	Ryanodine/Inositol 1,4,5-trisphosphate receptor
InterPro	IPR035910	2	6	9606	ITPR1,ITPR3	ITPR1,ITPR3	4.66e-05	0.0478	RyR/IP3 receptor binding core, RIH domain superfamily
Pfam	PF04116	4	6	9606	MSMO1,SC5D,FAXDC2,CH25H	MSMO1,SC5D,FAXDC2,CH25H	4.95e-10	1.14e-06	Fatty acid hydroxylase
Pfam	PF06966	2	3	9606	TM7SF2,LBR	TM7SF2,LBR	1.67e-05	0.0193	Protein of unknown function (DUF1295)
Pfam	PF01365	2	6	9606	ITPR1,ITPR3	ITPR1,ITPR3	4.66e-05	0.0359	RIH domain
Pfam	PF08454	2	6	9606	ITPR1,ITPR3	ITPR1,ITPR3	4.66e-05	0.0359	RyR and IP3R Homology associated
PMID	PMID:26869505	15	76	9606	CYP51A1,ERG28,MSMO1,SQLE,SIGMAR1,TM7SF2,ITPR1,HSPA5,KCNA4,LBR,ANK2,DRD2,NSDHL,ITPR3,OPRM1	CYP51A1,ERG28,MSMO1,SQLE,SIGMAR1,TM7SF2,ITPR1,HSPA5,KCNA4,LBR,ANK2,DRD2,NSDHL,ITPR3,OPRM1	2.01e-29	1.03e-22	(2016) The Sigma-1 Receptor as a Pluripotent Modulator in Living Systems.
PMID	PMID:29360540	9	26	9606	TMEM97,SIGMAR1,ITPR1,HSPA5,KCNA4,ANK2,DRD2,ITPR3,OPRM1	TMEM97,SIGMAR1,ITPR1,HSPA5,KCNA4,ANK2,DRD2,ITPR3,OPRM1	1.74e-19	4.47e-13	(2018) The sigma-1 receptor as a regulator of dopamine neurotransmission: A potential therapeutic target for methamphetamine addiction.
PMID	PMID:36993765	10	70	9606	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SQLE,TM7SF2,LBR,DHCR7,NSDHL	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SQLE,TM7SF2,LBR,DHCR7,NSDHL	3.39e-18	4.61e-12	(2023) Leveraging gene correlations in single cell transcriptomic data.
PMID	PMID:25393872	9	37	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,HSD3B7,LBR,DHCR7,NSDHL	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,HSD3B7,LBR,DHCR7,NSDHL	2.69e-18	4.61e-12	(2014) Hidden disease susceptibility and sexual dimorphism in the heterozygous knockout of Cyp51 from cholesterol synthesis.
PMID	PMID:21451815	8	20	9606	CYP51A1,MSMO1,SC5D,SQLE,LBR,DHCR7,NSDHL,CH25H	CYP51A1,MSMO1,SC5D,SQLE,LBR,DHCR7,NSDHL,CH25H	8.42e-18	8.66e-12	(2011) Modeling cholesterol metabolism by gene expression profiling in the hippocampus.
PMID	PMID:33628817	8	23	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,LBR,DHCR7,NSDHL	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,LBR,DHCR7,NSDHL	2.13e-17	1.83e-11	(2021) Using Elevated Cholesterol Synthesis as a Prognostic Marker in Wilms Tumor: A Bioinformatic Analysis.
PMID	PMID:18682733	7	11	9606	ERG28,MSMO1,SQLE,SIGMAR1,TM7SF2,LBR,NSDHL	ERG28,MSMO1,SQLE,SIGMAR1,TM7SF2,LBR,NSDHL	9.01e-17	6.62e-11	(2008) Preservation of genes involved in sterol metabolism in cholesterol auxotrophs: facts and hypotheses.
PMID	PMID:37312679	8	30	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL,CH25H	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL,CH25H	1.31e-16	8.45e-11	(2023) Dietary Cholesterol Supplementation Inhibits the Steroid Biosynthesis but Does Not Affect the Cholesterol Transport in Two Marine Teleosts: A Hepatic Transcriptome Study.
PMID	PMID:21909385	7	13	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,LBR,KCNH6	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,LBR,KCNH6	2.19e-16	1.25e-10	(2011) Next generation sequencing provides rapid access to the genome of Puccinia striiformis f. sp. tritici, the causal agent of wheat stripe rust.
PMID	PMID:23583456	8	34	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL,CH25H	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL,CH25H	3.16e-16	1.63e-10	(2013) A comprehensive machine-readable view of the mammalian cholesterol biosynthesis pathway.
PMID	PMID:34075056	8	36	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,HSD3B7,DHCR7,CH25H	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,HSD3B7,DHCR7,CH25H	4.74e-16	2.22e-10	(2021) Abnormal brain cholesterol homeostasis in Alzheimers disease-a targeted metabolomic and transcriptomic study.
